Generated at (UTC): 2025-10-13T20:17:35Z
Min price: 1.80  |  Bookmaker: Bet365  |  Leagues: 16

===== SOT 1+ — Bet365 — ≥ 1.80 =====
Player                 Team                   Fixture                                    Price Market                          HomeML  AwayML
Martin Valjent         Mallorca               Sevilla FC vs RCD Mallorca                 2.375 Player Shots                      1.85    4.50
Sondre Tronstad        Blackburn Rovers       Coventry City vs Blackburn Rovers          2.375 Player Shots                      1.57    5.50
Tyler Adams            AFC Bournemouth        Crystal Palace vs AFC Bournemouth          2.375 Player Shots                      2.20    3.25
Pierre Kalulu          Juventus               Como 1907 vs Juventus Turin                2.250 Player Shots                      2.75    2.45
Dara O'Shea            Ipswich Town           Middlesbrough FC vs Ipswich Town           2.200 Player Shots                      2.80    2.50
Jon Aramburu           Real Sociedad          RC Celta de Vigo vs Real Sociedad San Se   2.200 Player Shots                      2.15    3.25
Unai Núñez             Hellas Verona          Pisa SC vs Hellas Verona                   2.200 Player Shots                      2.45    3.00
Dodô                   Fiorentina             AC Milan vs ACF Fiorentina                 2.100 Player Shots                      1.50    6.00
Yan Valery             Sheffield Wednesday    Charlton Athletic vs Sheffield Wednesday   2.000 Player Shots                      1.66    5.50
Boubacar Traoré        Metz                   Toulouse FC vs FC Metz                     1.833 Player Shots                      1.55    6.25
Jeremy Ngakia          Watford                Sheffield United vs Watford FC             1.833 Player Shots                      1.95    4.10
Edmond Tapsoba         Bayer 04 Leverkusen    FSV Mainz vs Bayer Leverkusen              1.800 Player Shots                      2.80    2.45
Rassoul Ndiaye         Le Havre               Olympique Marseille vs Le Havre AC         1.800 Player Shots                      1.28    9.50
